epoch,ssl_loss,train_mean_alignment,val_mean_alignment,val_median_alignment,val_std_alignment,lr
1,3.2755957157053848,0.8314885040546985,0.597196738794446,0.5977118909358978,0.0634041735573044,0.0002997069691715983
2,2.3386037755519786,0.8850988935916981,0.5019711225293577,0.49944639205932617,0.09089772731283013,0.00029882903314519993
3,1.9560974709531094,0.8677268408714457,0.34125950483139605,0.3148041069507599,0.181058476378872,0.0002973696567332102
4,1.7523627382643678,0.8577961135417858,0.30609646599623375,0.2994469106197357,0.17178394214308795,0.00029533459942760165
5,1.5396395693434046,0.8567699447591254,0.47639438658370636,0.5220320820808411,0.20230792360672337,0.00029273189266983027
6,1.431949257850647,0.8466250604771554,0.2130391307087848,0.2150827869772911,0.17133192152807128,0.0002895718081544053
7,1.3436220186821959,0.8464470493032578,0.14769188421196305,0.13942378014326096,0.26196753780198,0.0002858668172912039
8,1.2426893634999052,0.8434711352307745,0.0681309689040063,0.015167386271059513,0.19702129643690366,0.00028163154198651373
9,1.1103733816045396,0.8448090591329209,0.28308040707488547,0.27688489854335785,0.17759776638164615,0.00027688269693704925
10,1.0673705428204638,0.8353830017942063,0.1739400667778682,0.1755550429224968,0.2311246627857551,0.0002716390236646797
11,0.9862126314893682,0.838558832381634,0.059946817404124886,0.043214986100792885,0.18493184176317012,0.00026592121655220473
12,0.8632286419259741,0.8426428044095953,0.3896807198412716,0.3839516341686249,0.1884426850145583,0.00025975184117207965
13,0.79880187676308,0.8426415019846977,0.1174409608647693,0.11528259515762329,0.27443349669758765,0.00025315524523041033
14,0.7454764208895095,0.8452876945759388,0.24520507551496848,0.25328966975212097,0.19128526081554562,0.00024615746247768044
15,0.7231960372721895,0.8387042423512073,0.40726715729106217,0.4447648823261261,0.21073174081214768,0.00023878610996543232
16,0.6733816526037582,0.8374691554840575,0.02382958737143781,-0.014934415929019451,0.26591660245637755,0.00023107027905438102
17,0.6416274454999478,0.838886356100123,0.2611597373033874,0.28521932661533356,0.30154282651041997,0.00022304042060410475
18,0.5443008567424531,0.8422331213951111,0.21041085671749898,0.21706606447696686,0.22591924117758092,0.00021472822479741332
19,0.5393665312452519,0.8348463367908558,0.10809134797018487,0.07326319441199303,0.2456981239158783,0.0002061664960736747
20,0.5146325072075458,0.8410690439508316,0.1953931148542324,0.21495339274406433,0.24195966883031736,0.0001973890236646797
21,0.5374374992035805,0.8359455948180341,0.16213227487169207,0.15317725390195847,0.2532622525064696,0.00018843044824398092
22,0.47717947211671385,0.8403213150957798,0.08322441389900632,0.08206665888428688,0.2673297223801807,0.00017932612521598013
23,0.4523117738835355,0.8365379571914673,0.23764342773356475,0.21644584089517593,0.265597193587953,0.0001701119851842992
24,0.441804604644471,0.8377131312451465,0.310809151941794,0.2898891717195511,0.18508755080887926,0.00016082439215010306
25,0.3803558685678117,0.8400589037448802,0.1954094065935351,0.1957738995552063,0.2354259636525239,0.0001515
26,0.3805736839137179,0.8380496349740536,0.17236106827913317,0.15543249249458313,0.2399856502973014,0.00014217560784989696
27,0.38586955279745955,0.8359445029116691,0.24891262456076219,0.2380092442035675,0.24543940153325997,0.00013288801481570084
28,0.35614697508355403,0.8383370358893212,0.18072180198796559,0.16126133501529694,0.21536985747117685,0.00012367387478401991
29,0.313170315103328,0.8384151319240002,0.14038190086139365,0.10396699979901314,0.2763252426215508,0.00011456955175601908
30,0.3031447517110946,0.8392747957655724,0.20559404452797025,0.21669955551624298,0.2662669883843274,0.00010561097633532038
31,0.2954722373409474,0.8414800382675008,0.17398411913891323,0.15218858420848846,0.26676193551360594,9.683350392632539e-05
32,0.3072143024269571,0.8395232951387446,0.239236877131043,0.24098455905914307,0.21147684824333152,8.827177520258673e-05
33,0.28554806255913795,0.8408087897807994,0.17015495887608267,0.15284840762615204,0.23570232145884568,7.995957939589527e-05
34,0.2766553607392818,0.8404023406353403,0.16421531229570974,0.14067460596561432,0.24433043950732836,7.192972094561898e-05
35,0.2831947071121094,0.8423197878167984,0.18634417291614228,0.16668330878019333,0.23080590054192582,6.421389003456776e-05
36,0.24544914859406491,0.8420668827726486,0.12196008481842,0.09745673835277557,0.25494167899373427,5.684253752231957e-05
37,0.2419427106989191,0.8420141592938849,0.05535457524820231,0.009964700788259506,0.26006733749003264,4.984475476958972e-05
38,0.2467077686748606,0.8433651784633068,0.1479245477472432,0.11166460067033768,0.2531373815097752,4.324815882792042e-05
39,0.2220765694658807,0.8444581868800711,0.10838581415446243,0.0776178352534771,0.25726209571400893,3.707878344779531e-05
40,0.20251867016579242,0.8442498229919596,0.13060160171880852,0.11014487221837044,0.2563330998391241,3.136097633532032e-05
41,0.19476662211595697,0.8477140665054321,0.07884392549458426,0.05085648596286774,0.2590971540016164,2.6117303062950797e-05
42,0.178302840983614,0.8481332520221142,0.06937239178514573,0.041228268295526505,0.27768917389252296,2.136845801348626e-05
43,0.20029426698989056,0.8456674218177795,0.10848231135751121,0.07283157482743263,0.25218397172832596,1.7133182708796128e-05
44,0.23243798806946328,0.8430545038365304,0.081734715285711,0.05384175106883049,0.2652726899941473,1.3428191845594675e-05
45,0.21189625252117503,0.8459938333389607,0.0639151276263874,0.020199624821543694,0.26606359196092333,1.02681073301697e-05
46,0.21341526983900272,0.847290132908111,0.07284640306024812,0.043725891038775444,0.25254004506698957,7.6654005723983e-06
47,0.21378819422518952,0.8457070119837498,0.09458753324579447,0.05732232704758644,0.2603010698879269,5.630343266789724e-06
48,0.17902499532445948,0.8470505311134013,0.10671465752529911,0.07412450760602951,0.26275641130459143,4.170966854800051e-06
49,0.18898101087580335,0.8463723989243203,0.09415769474435365,0.04905993305146694,0.257085678904915,3.2930308284016733e-06
50,0.18510218059762995,0.8485904145748058,0.08532561976462602,0.057529302313923836,0.2594635806344448,2.9999999999999997e-06
